"date","transaction_details","debit","credit","net_amount"
"2024-01-01","Cash Transfer to SBI",,10000,-10000
"2024-01-01","Puff Purchase",,538,-538
"2024-01-02","Soda Purchase",,1152,-1152
"2024-01-02","Sales- 02-01-2024",,80,-80
"2024-01-02","Bank account transfer",,500,-500
"2024-01-03","Sales - 03-01-2024",599,,599
"2024-01-04","Misc purchase - Hand wash, pasta etc",,311,-311
"2024-01-04","Sales - 04-01-2024",430,,430
"2024-01-05","Water CAN",,200,-200
"2024-01-05","Misc Kitchen Equipment",,448,-448
"2024-01-05","Samosa and Puff Purchase",,250,-250
"2024-01-05","Dinesh - Food and Slipper purchase",,300,-300
"2024-01-05","Giri's Cash transfer",255,,255
"2024-01-05","Sales - 05-01-2024",1168,,1168
"2024-01-05","Cash Transfer to Bank",,20,-20
"2024-01-06","Dinesh - Food ",,100,-100
"2024-01-06","Floor cleaner and xerox",,130,-130
"2024-01-06","Sales - 06-01-2024",405,,405
"2024-01-07","Dinesh - Food ",,100,-100
"2024-01-07","samosa purchase",,380,-380
"2024-01-07","Sales - 07-01-2024",1016,,1016
"2024-01-08","Dinesh - Food ",,50,-50
"2024-01-08","Sales - 08-01-2024",840,,840
"2024-01-09","Dinesh - Travel expense",,1000,-1000
"2024-01-09","Sales - 09-01-2024",380,,380
"2024-01-10","Ice Cube purchase",,100,-100
"2024-01-10","Sales - 10-01-2024",1405,,1405
"2024-01-11","Sales - 11-01-2024",929,,929
"2024-01-12","Sales - 12-01-2024",480,,480
"2024-01-13","Sales - 13-01-2024 and used oil sale",1274,,1274
"2024-01-14","Aravind - Food",,100,-100
"2024-01-14","Puff Purchase",,750,-750
"2024-01-14","Water CAN",,300,-300
"2024-01-14","Sales - 14-01-2024",1440,,1440
"2024-01-15","Aravind - Food",,100,-100
"2024-01-15","Floor cleaner, oreo, kitkat, dark fantasy purchase",,790,-790
"2024-01-15","Stock Purchase  and supplies by Madhan",,163,-163
"2024-01-15","Sales - 15-01-2024",4396,,4396
"2024-01-16","Puff Purchase",,505,-505
"2024-01-16","Aravind - Food",,100,-100
"2024-01-16","Cash Transferred to Bank",,10200,-10200
"2024-01-16","Sales - 16-01-2024",2379,,2379
"2024-01-17","Puff Purchase",,593,-593
"2024-01-17","Aravind - Food",,100,-100
"2024-01-17","Sales - 17-01-2024",1226,,1226
"2024-01-18","Puff Purchase",,650,-650
"2024-01-18","Sales - 18-01-2024",1330,,1330
"2024-01-19","Puff Purchase",,680,-680
"2024-01-19","Water CAN",,160,-160
"2024-01-19","Sales - 19-01-2024",880,,880
"2024-01-20","Puff Purchase",,980,-980
"2024-01-20","Ice cream 4kg 4 and Sause",,223,-223
"2024-01-20","Sales - 20-01-2024",1025,,1025
"2024-01-21","Stock Purchase -  Ice and Lemon",,120,-120
"2024-01-21","Puff Purchase",,100,-100
"2024-01-21","Sales - 21-01-2024",1615,,1615
"2024-01-22","Puff Purchase",,1316,-1316
"2024-01-22","Boiler washer purchase - 12",,190,-190
"2024-01-22","Water Bottle and corn purchase",,70,-70
"2024-01-22","Sales - 22-01-2024",1569,,1569
"2024-01-23","Puff Purchase",,696,-696
"2024-01-23","Butter and Coffee powder purchase",,80,-80
"2024-01-23","Sales - 23-01-2024",750,,750
"2024-01-24","Puff Purchase",,696,-696
"2024-01-24","switch purchase",,40,-40
"2024-01-24","Sales - 24-01-2024",1475,,1475
"2024-01-25","Puff Purchase",,696,-696
"2024-01-25","Screw Driver, Phenyl, lemon purchase",,220,-220
"2024-01-25","Donation",,20,-20
"2024-01-25","Sales - 25-01-2024",845,,845
"2024-01-26","Stock Purchase - Victory",,2356,-2356
"2024-01-26","Water CAN",,200,-200
"2024-01-26","Aravind - Food",,100,-100
"2024-01-26","Surf, Chilly and Multi Pin Purchase",,70,-70
"2024-01-26","Sales - 26-01-2024",1999,,1999
"2024-01-27","Hand Wash Purchase",,100,-100
"2024-01-27","Sales - 27-01-2024",1163,,1163
"2024-01-28","Puff Purchase - 26, 27 , 28 Jan",,2207,-2207
"2024-01-28","Donation",,10,-10
"2024-01-28","Ice Cube Purchase",,100,-100
"2024-01-28","Sales - 28-01-2024",1381,,1381
"2024-01-29","Puff Purchase",,614,-614
"2024-01-29","Phenol purchase",,80,-80
"2024-01-30","Puff Purchase",,614,-614
"2024-01-30","Ginger, sponge and match box",,94,-94
"2024-01-30","Sales - 29-01-2024",1208,,1208
"2024-01-30","Aravind Salary Part Payment",,2000,-2000
"2024-01-31","Puff Purchase",,544,-544
"2024-01-31","Water CAN",,200,-200
"2024-01-31","Sales - 30-01-2024",1754,,1754
"2024-02-01","Lemon, panner and oil purchase",,372,-372
